YEAR_PATH_STARTED,REGION,AGE_GROUP,GENDER,NB_ETUDIANTS,NB_ETUDIANTS_UNIQUES,TAUX_CHOMAGE_T3_2025,TAUX_CHOMAGE_T3_2024
2022,Auvergne-Rhône-Alpes,20-24 ans,M,1,1,6.6,6.4
2022,Auvergne-Rhône-Alpes,25-29 ans,F,4,4,6.6,6.4
2022,Auvergne-Rhône-Alpes,25-29 ans,M,8,8,6.6,6.4
2022,Auvergne-Rhône-Alpes,25-29 ans,Non renseigné,11,11,6.6,6.4
2022,Auvergne-Rhône-Alpes,30-34 ans,F,9,9,6.6,6.4
2022,Auvergne-Rhône-Alpes,30-34 ans,M,15,15,6.6,6.4
2022,Auvergne-Rhône-Alpes,30-34 ans,Non renseigné,23,23,6.6,6.4
2022,Auvergne-Rhône-Alpes,35-39 ans,F,6,6,6.6,6.4
2022,Auvergne-Rhône-Alpes,35-39 ans,M,16,16,6.6,6.4
2022,Auvergne-Rhône-Alpes,35-39 ans,Non renseigné,12,12,6.6,6.4
2022,Auvergne-Rhône-Alpes,40-44 ans,F,5,5,6.6,6.4
2022,Auvergne-Rhône-Alpes,40-44 ans,M,7,7,6.6,6.4
2022,Auvergne-Rhône-Alpes,40-44 ans,Non renseigné,14,14,6.6,6.4
2022,Auvergne-Rhône-Alpes,45-49 ans,F,3,3,6.6,6.4
2022,Auvergne-Rhône-Alpes,45-49 ans,M,10,10,6.6,6.4
2022,Auvergne-Rhône-Alpes,45-49 ans,Non renseigné,6,6,6.6,6.4
2022,Auvergne-Rhône-Alpes,50-54 ans,F,2,2,6.6,6.4
2022,Auvergne-Rhône-Alpes,50-54 ans,M,3,3,6.6,6.4
2022,Auvergne-Rhône-Alpes,50-54 ans,Non renseigné,6,6,6.6,6.4
2022,Auvergne-Rhône-Alpes,55-59 ans,F,1,1,6.6,6.4
2022,Auvergne-Rhône-Alpes,55-59 ans,M,4,4,6.6,6.4
2022,Auvergne-Rhône-Alpes,55-59 ans,Non renseigné,1,1,6.6,6.4
2022,Auvergne-Rhône-Alpes,60 ans ou plus,F,1,1,6.6,6.4
2022,Auvergne-Rhône-Alpes,60 ans ou plus,M,2,2,6.6,6.4
2022,Auvergne-Rhône-Alpes,60 ans ou plus,Non renseigné,1,1,6.6,6.4
2022,Bourgogne-Franche-Comté,25-29 ans,F,2,2,6.9,6.6
2022,Bourgogne-Franche-Comté,25-29 ans,M,4,4,6.9,6.6
2022,Bourgogne-Franche-Comté,30-34 ans,F,1,1,6.9,6.6
2022,Bourgogne-Franche-Comté,30-34 ans,M,6,6,6.9,6.6
2022,Bourgogne-Franche-Comté,30-34 ans,Non renseigné,4,4,6.9,6.6
2022,Bourgogne-Franche-Comté,35-39 ans,F,1,1,6.9,6.6
2022,Bourgogne-Franche-Comté,35-39 ans,Non renseigné,3,3,6.9,6.6
2022,Bourgogne-Franche-Comté,40-44 ans,F,1,1,6.9,6.6
2022,Bourgogne-Franche-Comté,45-49 ans,M,2,2,6.9,6.6
2022,Bourgogne-Franche-Comté,50-54 ans,M,3,3,6.9,6.6
2022,Bretagne,20-24 ans,M,1,1,6.3,6.0
2022,Bretagne,25-29 ans,F,1,1,6.3,6.0
2022,Bretagne,25-29 ans,M,2,2,6.3,6.0
2022,Bretagne,25-29 ans,Non renseigné,3,3,6.3,6.0
2022,Bretagne,30-34 ans,F,4,4,6.3,6.0
2022,Bretagne,30-34 ans,M,5,5,6.3,6.0
2022,Bretagne,30-34 ans,Non renseigné,5,5,6.3,6.0
2022,Bretagne,35-39 ans,F,1,1,6.3,6.0
2022,Bretagne,35-39 ans,M,3,3,6.3,6.0
2022,Bretagne,35-39 ans,Non renseigné,3,3,6.3,6.0
2022,Bretagne,40-44 ans,M,4,4,6.3,6.0
2022,Bretagne,40-44 ans,Non renseigné,3,3,6.3,6.0
2022,Bretagne,45-49 ans,F,1,1,6.3,6.0
2022,Bretagne,45-49 ans,M,4,4,6.3,6.0
2022,Bretagne,45-49 ans,Non renseigné,3,3,6.3,6.0
2022,Bretagne,50-54 ans,Non renseigné,1,1,6.3,6.0
2022,Bretagne,60 ans ou plus,M,1,1,6.3,6.0
2022,Bretagne,60 ans ou plus,Non renseigné,1,1,6.3,6.0
2022,Centre-Val-de-Loire,20-24 ans,M,2,2,7.1,6.9
2022,Centre-Val-de-Loire,25-29 ans,M,1,1,7.1,6.9
2022,Centre-Val-de-Loire,25-29 ans,Non renseigné,2,2,7.1,6.9
2022,Centre-Val-de-Loire,30-34 ans,F,4,4,7.1,6.9
2022,Centre-Val-de-Loire,30-34 ans,M,3,3,7.1,6.9
2022,Centre-Val-de-Loire,30-34 ans,Non renseigné,5,5,7.1,6.9
2022,Centre-Val-de-Loire,35-39 ans,M,7,7,7.1,6.9
2022,Centre-Val-de-Loire,35-39 ans,Non renseigné,5,5,7.1,6.9
2022,Centre-Val-de-Loire,40-44 ans,M,5,5,7.1,6.9
2022,Centre-Val-de-Loire,45-49 ans,M,1,1,7.1,6.9
2022,Centre-Val-de-Loire,60 ans ou plus,Non renseigné,1,1,7.1,6.9
2022,DROM,30-34 ans,M,3,3,,
2022,DROM,30-34 ans,Non renseigné,1,1,,
2022,DROM,35-39 ans,M,1,1,,
2022,DROM,40-44 ans,F,2,2,,
2022,DROM,40-44 ans,M,1,1,,
2022,DROM,40-44 ans,Non renseigné,1,1,,
2022,DROM,45-49 ans,F,1,1,,
2022,DROM,45-49 ans,M,2,2,,
