country;year;country_year;basic_pct_total;wash_mortality_rate_total;gov_score
Afghanistan;2016;Afghanistan_2016;64,28648;13,92067;0,7526
Albania;2016;Albania_2016;91,02037;0,16641;0,9543
Algeria;2016;Algeria_2016;93,51585;1,86723;0,9584
Angola;2016;Angola_2016;55,08428;48,81467;0,5339
Antigua and Barbuda;2016;Antigua and Barbuda_2016;96,73919;0,11403;0,9832
Argentina;2016;Argentina_2016;99,07838;0,36294;0,9936
Armenia;2016;Armenia_2016;99,89854;0,17688;0,9986
Australia;2016;Australia_2016;99,96997;0,09539;0,9994
Austria;2016;Austria_2016;100,0;0,12375;0,9994
Azerbaijan;2016;Azerbaijan_2016;90,71031;1,11988;0,948
Bahamas;2016;Bahamas_2016;98,88696;0,06853;0,9941
Bahrain;2016;Bahrain_2016;100,0;0,0396;0,9998
Bangladesh;2016;Bangladesh_2016;96,88253;11,94467;0,9253
Barbados;2016;Barbados_2016;98,48444;0,16462;0,9916
Belarus;2016;Belarus_2016;96,47418;0,05165;0,9821
Belgium;2016;Belgium_2016;100,0;0,28179;0,9986
Belize;2016;Belize_2016;97,58454;0,96521;0,9832
Benin;2016;Benin_2016;66,32024;59,73005;0,536
Bhutan;2016;Bhutan_2016;97,20763;3,94974;0,9665
Bolivia;2016;Bolivia (Plurinational State of)_2016;92,1769;5,57744;0,9333
Bosnia and Herzegovina;2016;Bosnia and Herzegovina_2016;96,15126;0,07872;0,9804
Botswana;2016;Botswana_2016;89,40444;11,76669;0,8888
Brazil;2016;Brazil_2016;97,84798;1,047;0,9841
Brunei Darussalam;2016;Brunei Darussalam_2016;99,90001;0,0452;0,9993
Bulgaria;2016;Bulgaria_2016;99,14818;0,12884;0,9951
Burkina Faso;2016;Burkina Faso_2016;48,26772;49,64125;0,4957
Burundi;2016;Burundi_2016;60,20415;65,40117;0,4774
Cabo Verde;2016;Cabo Verde_2016;86,48798;4,13675;0,912
Cambodia;2016;Cambodia_2016;76,94537;6,47033;0,8527
Cameroon;2016;Cameroon_2016;60,15572;45,15287;0,5774
Canada;2016;Canada_2016;99,41262;0,36794;0,9953
Central African Republic;2016;Central African Republic_2016;46,33376;82,11312;0,3253
Chad;2016;Chad_2016;38,85259;101,04312;0,1943
Chile;2016;Chile_2016;99,62218;0,20277;0,9971
China;2016;China_2016;92,30405;0,57632;0,9587
Colombia;2016;Colombia_2016;96,96181;0,7531;0,9811
Comoros;2016;Comoros_2016;80,14886;50,73689;0,6497
Republic of Congo;2016;Congo_2016;72,18665;38,70865;0,6694
Costa Rica;2016;Costa Rica_2016;99,69976;0,86387;0,9943
Croatia;2016;Croatia_2016;99,58675;0,11204;0,9974
Cuba;2016;Cuba_2016;95,32452;1,02635;0,9716
Cyprus;2016;Cyprus_2016;99,6132;0,27908;0,9967
Czechia;2016;Czechia_2016;99,88017;0,17881;0,9985
Côte d'Ivoire;2016;Côte d'Ivoire_2016;72,76205;47,15776;0,6305
Democratic People's Republic of Korea;2016;Democratic People's Republic of Korea_2016;94,8621;1,35658;0,9676
Democratic Republic of the Congo;2016;Democratic Republic of the Congo_2016;42,97677;59,75592;0,4192
Denmark;2016;Denmark_2016;100,0;0,30561;0,9985
Djibouti;2016;Djibouti_2016;75,60252;31,28645;0,7232
Dominican Republic;2016;Dominican Republic_2016;96,57637;2,20544;0,972
Ecuador;2016;Ecuador_2016;93,68204;0,64215;0,9653
Egypt;2016;Egypt_2016;99,03286;2,2022;0,9843
El Salvador;2016;El Salvador_2016;97,06386;2,00514;0,9754
Equatorial Guinea;2016;Equatorial Guinea_2016;64,42552;22,28946;0,7119
Eritrea;2016;Eritrea_2016;51,84972;45,56445;0,5338
Estonia;2016;Estonia_2016;99,71165;0,00627;0,9986
Eswatini;2016;Eswatini_2016;68,9483;27,89303;0,7067
Ethiopia;2016;Ethiopia_2016;40,04142;43,66399;0,4842
Fiji;2016;Fiji_2016;93,74462;2,88769;0,9545
Finland;2016;Finland_2016;100,0;0,03616;0,9999
France;2016;France_2016;100,0;0,26542;0,9987
Gabon;2016;Gabon_2016;85,62704;20,57946;0,8263
Gambia;2016;Gambia_2016;77,82724;29,65944;0,7424
Georgia;2016;Georgia_2016;98,17055;0,17978;0,99
Germany;2016;Germany_2016;100,0;0,58651;0,9971
Ghana;2016;Ghana_2016;80,43578;18,83582;0,809
Greece;2016;Greece_2016;100,0;0,0371;0,9998
Grenada;2016;Grenada_2016;95,62865;0,34283;0,9765
Guatemala;2016;Guatemala_2016;93,72089;6,29517;0,9375
Guinea;2016;Guinea_2016;62,10819;44,63392;0,5897
Guinea-Bissau;2016;Guinea-Bissau_2016;66,50823;35,27235;0,658
Guyana;2016;Guyana_2016;95,53635;3,64877;0,9597
Haiti;2016;Haiti_2016;65,02302;23,79188;0,7074
Honduras;2016;Honduras_2016;94,28603;3,6189;0,9536
Hungary;2016;Hungary_2016;99,97081;0,23983;0,9987
Iceland;2016;Iceland_2016;100,0;0,10354;0,9995
India;2016;India_2016;91,85928;18,58389;0,8674
Indonesia;2016;Indonesia_2016;88,65653;7,05721;0,9084
Iran;2016;Iran (Islamic Republic of)_2016;95,20149;0,98453;0,9712
Iraq;2016;Iraq_2016;95,61298;3,03475;0,9631
Ireland;2016;Ireland_2016;97,38348;0,07416;0,9866
Israel;2016;Israel_2016;100,0;0,24682;0,9988
Italy;2016;Italy_2016;99,4425;0,13718;0,9966
Jamaica;2016;Jamaica_2016;90,61792;0,61365;0,9501
Japan;2016;Japan_2016;98,97;0,1667;0,9941
Jordan;2016;Jordan_2016;98,97105;0,62637;0,9918
Kazakhstan;2016;Kazakhstan_2016;95,04381;0,38312;0,9734
Kenya;2016;Kenya_2016;58,28035;51,1546;0,5383
Kiribati;2016;Kiribati_2016;70,34607;16,6583;0,7693
Kuwait;2016;Kuwait_2016;100,0;0,01242;1,0
Kyrgyzstan;2016;Kyrgyzstan_2016;87,42696;0,77594;0,9333
Lao People's Democratic Republic;2016;Lao People's Democratic Republic_2016;79,9419;11,31273;0,8438
Latvia;2016;Latvia_2016;98,57478;0,0206;0,9928
Lebanon;2016;Lebanon_2016;92,6;0,78675;0,9591
Lesotho;2016;Lesotho_2016;68,62891;44,35666;0,6237
Liberia;2016;Liberia_2016;72,44901;41,54313;0,6567
Libya;2016;Libya_2016;98,52895;0,5827;0,9898
Lithuania;2016;Lithuania_2016;97,07375;0,08078;0,985
Luxembourg;2016;Luxembourg_2016;99,90687;0,0485;0,9993
Madagascar;2016;Madagascar_2016;53,18465;30,23168;0,6163
Malawi;2016;Malawi_2016;67,91184;28,29031;0,6996
Malaysia;2016;Malaysia_2016;96,72462;0,41999;0,9816
Maldives;2016;Maldives_2016;99,23921;0,30585;0,9947
Mali;2016;Mali_2016;76,58435;70,7214;0,533
Malta;2016;Malta_2016;100,0;0,03337;0,9999
Mauritania;2016;Mauritania_2016;68,83202;38,56949;0,6533
Mauritius;2016;Mauritius_2016;99,86639;0,58845;0,9965
Mexico;2016;Mexico_2016;98,88368;1,05554;0,9892
Micronesia;2016;Micronesia (Federated States of)_2016;78,56648;3,56993;0,8752
Mongolia;2016;Mongolia_2016;82,80058;1,28871;0,9077
Montenegro;2016;Montenegro_2016;97,05335;0,02545;0,9852
Morocco;2016;Morocco_2016;86,63644;1,90323;0,9238
Mozambique;2016;Mozambique_2016;53,44394;27,62905;0,6305
Myanmar;2016;Myanmar_2016;80,84426;12,61942;0,8418
Namibia;2016;Namibia_2016;82,21806;18,31716;0,8205
Nepal;2016;Nepal_2016;88,34641;19,82954;0,8436
Netherlands;2016;Netherlands_2016;100,0;0,24093;0,9988
New Zealand;2016;New Zealand_2016;100,0;0,14577;0,9993
Nicaragua;2016;Nicaragua_2016;81,50474;2,24431;0,8964
Niger;2016;Niger_2016;49,50156;70,81496;0,3971
Nigeria;2016;Nigeria_2016;70,02553;68,62818;0,5105
Norway;2016;Norway_2016;100,0;0,21161;0,999
Oman;2016;Oman_2016;91,75999;0,04553;0,9586
Pakistan;2016;Pakistan_2016;91,14014;19,58922;0,8588
Panama;2016;Panama_2016;95,97945;1,89632;0,9705
Papua New Guinea;2016;Papua New Guinea_2016;40,73222;16,30974;0,623
Paraguay;2016;Paraguay_2016;98,56575;1,46453;0,9856
Peru;2016;Peru_2016;90,58557;1,27684;0,9466
Philippines;2016;Philippines_2016;93,07372;4,19289;0,9447
Poland;2016;Poland_2016;99,38385;0,09072;0,9965
Portugal;2016;Portugal_2016;99,90618;0,15292;0,9988
Qatar;2016;Qatar_2016;99,6298;0,00811;0,9981
Republic of Korea;2016;Republic of Korea_2016;99,6754;1,80559;0,9895
Republic of Moldova;2016;Republic of Moldova_2016;88,68506;0,09594;0,943
Romania;2016;Romania_2016;100,0;0,36236;0,9982
Russian Federation;2016;Russian Federation_2016;96,96095;0,10474;0,9843
Rwanda;2016;Rwanda_2016;56,98162;19,34948;0,6892
Saint Lucia;2016;Saint Lucia_2016;98,16222;0,62866;0,9877
Saint Vincent and the Grenadines;2016;Saint Vincent and the Grenadines_2016;95,14522;1,33276;0,9692
Samoa;2016;Samoa_2016;97,30364;1,48876;0,9792
Sao Tome and Principe;2016;Sao Tome and Principe_2016;84,20084;11,3611;0,8648
Saudi Arabia;2016;Saudi Arabia_2016;99,86361;0,09226;0,9989
Senegal;2016;Senegal_2016;79,46232;23,86927;0,7792
Serbia;2016;Serbia_2016;85,52885;0,73678;0,924
Seychelles;2016;Seychelles_2016;96,24902;0,1694;0,9804
Sierra Leone;2016;Sierra Leone_2016;59,56314;81,29262;0,3956
Singapore;2016;Singapore_2016;100,0;0,06611;0,9997
Slovakia;2016;Slovakia_2016;99,78751;0,04474;0,9987
Slovenia;2016;Slovenia_2016;99,53439;0,02115;0,9976
Solomon Islands;2016;Solomon Islands_2016;68,5448;6,17562;0,8122
Somalia;2016;Somalia_2016;50,81511;86,57523;0,3257
South Africa;2016;South Africa_2016;92,27031;13,66885;0,8937
South Sudan;2016;South Sudan_2016;40,8139;63,28665;0,3909
Spain;2016;Spain_2016;99,92651;0,15183;0,9989
Sri Lanka;2016;Sri Lanka_2016;88,83598;1,19003;0,9383
Sudan;2016;Sudan_2016;60,21589;17,32224;0,7154
Suriname;2016;Suriname_2016;94,5194;2,00714;0,9627
Sweden;2016;Sweden_2016;100,0;0,21519;0,999
Switzerland;2016;Switzerland_2016;100,0;0,13784;0,9993
Syrian Arab Republic;2016;Syrian Arab Republic_2016;97,05907;3,6654;0,9672
Tajikistan;2016;Tajikistan_2016;79,62585;2,70048;0,8848
Thailand;2016;Thailand_2016;99,3738;3,50653;0,9795
Timor-Leste;2016;Timor-Leste_2016;76,65939;9,91329;0,8343
Togo;2016;Togo_2016;64,02144;41,63327;0,6141
Tonga;2016;Tonga_2016;99,90674;1,42545;0,9925
Trinidad and Tobago;2016;Trinidad and Tobago_2016;98,18496;0,14189;0,9903
Tunisia;2016;Tunisia_2016;95,9924;1,01527;0,975
Turkey;2016;Turkey_2016;98,88087;0,2957;0,993
Turkmenistan;2016;Turkmenistan_2016;98,70372;3,97765;0,9739
