year;country;wash_mortality_rate;country_year
2016;Afghanistan;13,92067;Afghanistan_2016
2016;Albania;0,16641;Albania_2016
2016;Algeria;1,86723;Algeria_2016
2016;Angola;48,81467;Angola_2016
2016;Antigua and Barbuda;0,11403;Antigua and Barbuda_2016
2016;Argentina;0,36294;Argentina_2016
2016;Armenia;0,17688;Armenia_2016
2016;Australia;0,09539;Australia_2016
2016;Austria;0,12375;Austria_2016
2016;Azerbaijan;1,11988;Azerbaijan_2016
2016;Bahamas;0,06853;Bahamas_2016
2016;Bahrain;0,0396;Bahrain_2016
2016;Bangladesh;11,94467;Bangladesh_2016
2016;Barbados;0,16462;Barbados_2016
2016;Belarus;0,05165;Belarus_2016
2016;Belgium;0,28179;Belgium_2016
2016;Belize;0,96521;Belize_2016
2016;Benin;59,73005;Benin_2016
2016;Bhutan;3,94974;Bhutan_2016
2016;Bolivia;5,57744;Bolivia (Plurinational State of)_2016
2016;Bosnia and Herzegovina;0,07872;Bosnia and Herzegovina_2016
2016;Botswana;11,76669;Botswana_2016
2016;Brazil;1,047;Brazil_2016
2016;Brunei Darussalam;0,0452;Brunei Darussalam_2016
2016;Bulgaria;0,12884;Bulgaria_2016
2016;Burkina Faso;49,64125;Burkina Faso_2016
2016;Burundi;65,40117;Burundi_2016
2016;Cabo Verde;4,13675;Cabo Verde_2016
2016;Cambodia;6,47033;Cambodia_2016
2016;Cameroon;45,15287;Cameroon_2016
2016;Canada;0,36794;Canada_2016
2016;Central African Republic;82,11312;Central African Republic_2016
2016;Chad;101,04312;Chad_2016
2016;Chile;0,20277;Chile_2016
2016;China;0,57632;China_2016
2016;Colombia;0,7531;Colombia_2016
2016;Comoros;50,73689;Comoros_2016
2016;Republic of Congo;38,70865;Congo_2016
2016;Costa Rica;0,86387;Costa Rica_2016
2016;Croatia;0,11204;Croatia_2016
2016;Cuba;1,02635;Cuba_2016
2016;Cyprus;0,27908;Cyprus_2016
2016;Czechia;0,17881;Czechia_2016
2016;Côte d'Ivoire;47,15776;Côte d'Ivoire_2016
2016;Democratic People's Republic of Korea;1,35658;Democratic People's Republic of Korea_2016
