pays,code_iso3,volaille_kcal_hab_jour,population_milliers,pib_par_habitant_ppp,pct_pop_ne_peut_manger_sain,imports_alim_pct_imports_totaux,densite_population_hab_km2,pct_population_urbaine,lpi_efficacite_douane,croissance_pib_pct,marche_volaille,taux_dependance_import,prix_moyen_import,part_bio_agriculture,indice_stabilite_globale,part_volaille_viande,distance_france_km,volaille_import_valeur_usd_hab
Haiti,HTI,33.98,10817.75,3474,77.4,37.2613985987692,392.516473149492,50.735083378449,1.864452,2.51027134544685,367587.14499999996,100.0,931.0475737382809,0.0027860696517412933,31.172233799999997,1.7248730964467005,7356.377634576809,8.068499456911095
Paraguay,PRY,39.14,6338.66,15320,24.3,8.75106988845847,15.9543418071986,62.9526389826574,2.5120635,4.81007885552178,248095.1524,12.658985507246378,2145.8206921817577,0.002148933661990035,47.23457618,0.8525375735133959,10160.480746374617,0.29569498916174713
Kyrgyzstan,KGZ,12.05,6220.15,5861,41.0,14.0718426591173,32.8816266944734,34.9980805726839,2.275,4.73993722377884,74952.8075,100.0,1204.563313527793,0.0018339484445119114,43.518800899999995,0.40019926934573236,5420.6718433217775,5.163015361365884
Republic of Moldova,MDA,86.1,2693.5,13119,10.9,13.9754361747855,95.9093883802694,39.9736557006836,2.3219849999999997,4.17561205106279,231910.34999999998,100.0,984.8744951514742,0.013006516204203167,47.52560726,1.673469387755102,1972.88658913532,6.093859290885465
Australia,AUS,190.52,24731.04,56685,2.9,6.48222765314289,3.19715601363491,87.12809266445,3.7069785,2.29331030192918,4711757.740800001,14.015381589299764,3337.2949243693706,0.09586200405016176,83.0648288,1.6603050108932462,16918.823615135952,2.4038241012104624
Cyprus,CYP,91.72,1254.28,42129,4.0,14.1248549081498,135.744047619048,66.8907450570326,3.0805555,5.75083236554525,115042.5616,100.0,2705.169061390603,0.0461209026519519,71.57435566000001,1.2502726281352234,2949.3918033382847,33.36518959084096
Comoros,COM,66.99,756.67,3237,63.9,34.9338624970661,406.592692101021,31.0996559689293,2.6262855,3.81570211280726,50689.3233,100.0,1178.6179514438827,0.010827067669172932,39.14488250000001,2.765895953757225,7835.564565210703,17.948273355623986
Bulgaria,BGR,84.34,7075.64,26681,10.3,10.0390731851877,62.6701179071481,73.3904571533203,2.67,2.74592676054861,596759.4776000001,100.0,1111.367798486148,0.027159649429766654,56.22399536,1.473445143256464,1757.2541957556507,18.158770090055455
United States of America,USA,201.81,332204.66,66156,5.0,6.08834023504952,35.7049975840182,80.4018678392891,3.7662430000000002,2.45762229852507,67042222.434599996,6.317684585196678,3430.3405796379147,0.0047544366996939156,76.56754386,1.7040445832981508,6165.629223350146,1.429588736052047
Burkina Faso,BFA,7.91,19894.41,2232,66.2,12.2199184238571,72.713475877193,25.9769918665632,2.480862,6.20348941121868,157364.7831,4.093571428571429,860.0011632641191,0.00427413195112643,47.0299942,0.6635906040268457,4073.0760312454267,0.007432238503177526
